Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
508 N Bowdoin Pl,Wires Down,08/02/2014 06:10:00 PM +0000,47.654615,-122.352094,"(47.654615, -122.352094)",F140081970
5001 Ravenna Av Ne,Wires Down,08/02/2014 04:58:00 PM +0000,47.665003,-122.303452,"(47.665003, -122.303452)",F140081935
E Madison St / Mcgilvra Blvd E,Wires Down,08/01/2014 08:07:00 PM +0000,47.633372,-122.281578,"(47.633372, -122.281578)",F140081583
4000 E Madison St,Wires Down,07/30/2014 09:30:00 PM +0000,47.633728,-122.281063,"(47.633728, -122.281063)",F140080813
E Roy St / Harvard Av E,Wires Down,07/20/2014 09:26:00 AM +0000,47.625117,-122.321976,"(47.625117, -122.321976)",F140076821
2113 E Olive St,Wires Down,07/18/2014 09:52:00 PM +0000,47.617113,-122.304683,"(47.617113, -122.304683)",F140076248
20th Av / E Spruce St,Wires Down,07/08/2014 07:18:00 PM +0000,47.603513,-122.30635,"(47.603513, -122.30635)",F140071657
Queen Anne Av N / Harrison St,Wires Down,07/08/2014 01:51:00 AM +0000,47.622108,-122.356729,"(47.622108, -122.356729)",F140071382
Summit Av E / E John St,Wires Down,07/07/2014 07:12:00 AM +0000,47.619651,-122.325294,"(47.619651, -122.325294)",F140071049
10500 Interlake Av N,Wires Down,07/05/2014 12:05:00 AM +0000,47.705046,-122.340648,"(47.705046, -122.340648)",F140070041
Nw 45th St / Leary Way Nw,Wires Down,07/02/2014 07:35:00 PM +0000,47.661465,-122.367159,"(47.661465, -122.367159)",F140069073
614 13th Av E,Wires Down,07/02/2014 06:52:00 PM +0000,47.624405,-122.315684,"(47.624405, -122.315684)",F140069053
4434 Sw 101st St,Wires Down,07/02/2014 12:32:00 AM +0000,47.512953,-122.388969,"(47.512953, -122.388969)",F140068708
6620 Fauntleroy Way Sw,Wires Down,06/25/2014 07:00:00 AM +0000,47.543789,-122.390009,"(47.543789, -122.390009)",F140065868
103 Lakeside Av,Wires Down,06/24/2014 05:44:00 AM +0000,47.601629,-122.285178,"(47.601629, -122.285178)",F140065445
4020 19th Av Sw,Wires Down,06/23/2014 03:51:00 PM +0000,47.567648,-122.35804,"(47.567648, -122.35804)",F140065173
1817 25th Av E,Wires Down,06/21/2014 10:50:00 PM +0000,47.63521,-122.300603,"(47.63521, -122.300603)",F140064540
710 N 102nd St,Wires Down,06/17/2014 02:36:00 PM +0000,47.702894,-122.349914,"(47.702894, -122.349914)",F140062751
2110 Clise Pl W,Wires Down,06/16/2014 03:31:00 AM +0000,47.637942,-122.398047,"(47.637942, -122.398047)",F140062204
2847 Nw 72nd St,Wires Down,06/13/2014 06:56:00 PM +0000,47.680965,-122.393631,"(47.680965, -122.393631)",F140061301
8301 Golden Gardens Dr Nw,Wires Down,06/07/2014 09:51:00 PM +0000,47.690648,-122.401956,"(47.690648, -122.401956)",F140058909
1501 E Thomas St,Wires Down,06/06/2014 12:45:00 PM +0000,47.620503,-122.312698,"(47.620503, -122.312698)",F140058288
3607 E Alder St,Wires Down,05/26/2014 02:23:00 AM +0000,47.604115,-122.287171,"(47.604115, -122.287171)",F140053500
10607 57TH AV S,Wires Down,05/23/2014 03:08:00 PM +0000,47.50603,-122.261287,"(47.50603, -122.261287)",F140052489
